"Tagtyp_Id";"Tagtypname";"Bemerkung"
2;"<Unbenutzt>";
7;"14-A-19";"Montag bis Donnerstag, Jahresfahrplan 2019"
12;"14-B-19";"Montag-Donnerstag, Fahrplanaenderung, (Linie 32 Linie 46 gueltig ab 06.05.2019), (Linie 8 gueltig ab 25.02.2019)"
18;"14-C-19";"Montag-Donnerstag, Fahrplanaenderung, (Linie 31 Linie 33 gueltig ab 15.07.2019), (Linie 2 Linie 6 gueltig ab 02.09.2019)"
23;"14-D-19";"Montag-Donnerstag, Fahrplanaenderung, (Linie 2 Linie 3 Linie 4 Linie 6 Linie 8 Linie 9 Linie 13 Linie 15 gueltig ab 25.11.2019)"
6;"15-A-19";"Montag bis Freitag, Jahresfahrplan 2019"
17;"15-C-19";"Montag-Freitag, Fahrplanaenderung, (L 701 L 704 L 703 L 705 gueltig ab 15.07.2019), (L 910 gueltig ab 20.08.2019), (L 918 L 919 gueltig ab 21.08.2019), (L 45 gueltig ab 26.08), (L 35 L 302 L 303 L 304 L 308 L306 L311 L325 L314 gueltig ab 02.09.2019)"
22;"15-D-19";"Montag-Freitag, Fahrplanaenderung, (Linie 10 Linie 12 ab 26.11.2019)"
5;"55-A-19";"Freitag, Jahresfahrplan 2019"
10;"55-B-19";"Freitag, Fahrplanaenderung, (Linie 32 Linie 46 gueltig ab 06.05.2019), (Linie 8 gueltig ab 25.02.2019)"
16;"55-C-19";"Freitag, Fahrplanaenderung, (Linie 31 Linie 33 gueltig ab 19.07.2019), (Linie 2 Linie 6 Linie 352 gueltig ab 06.09.2019)"
21;"55-D-19";"Freitag, Fahrplanaenderung, (Linie 2 Linie 3 Linie 4 Linie 6 Linie 8 Linie 9 Linie 13 Linie 15 gueltig ab 29.11.2019)"
4;"66-A-19";"Samstag, Jahresfahrplan 2019"
9;"66-B-19";"Samstag, Fahrplanaenderung,(Linie 3 Linie 61 Linie 62 Linie 75 gueltig ab 11.05.2019), (Linie 8 gueltig ab 25.02.2019)"
15;"66-C-19";"Samstag, Fahrplanaenderung, (L 31 L 701 L 704 L 703 L 705  gueltig ab 13.07.2019), (L 33 gueltig ab 20.07.2019), (L 35 L 2 L 302 L 303 L 304 L 308 L 306 L 311 L 325 L 352 gueltig ab 07.09.2019)"
20;"66-D-19";"Samstag, Fahrplanaenderung, (Linie 2 Linie 3 Linie 6 Linie 8 Linie 9 Linie 10 Linie 12 Linie 13 Linie 15 gueltig ab 30.11.2019)"
3;"77-A-19";"Sonntag, Jahresfahrplan 2019"
8;"77-B-19";"Sonntag, Fahrplanaenderung, (Linie 8 gueltig ab 25.02.2019)"
14;"77-C-19";"Sonntag, Fahrplanaenderung, (Linie 31 gueltig ab 14.07.2019), (Linie 33 gueltig ab 21.07.2019), (Linie 35 Linie 2 Linie 302 Linie 303 Linie 304 Linie 308 Linie 306 Linie 311 Linie 325 gueltig ab 08.09)"
19;"77-D-19";"Sonntag, Fahrplanaenderung, (Linie 2 Linie 3 Linie 6 Linie 8 Linie 12 Linie 13 Linie 15 gueltig ab 01.12.2019)"
13;"99-A-19";"Montag-Freitag, Ferienfahrplan, (Linie 5 Linie 6 Linie 32 Linie 46 gueltig ab 15.07.2019 - 16.08.2019)"
40000002;"<Unbenutzt>";
